protocol,duration,src_bytes,dst_bytes,pkts,conn_rate,failed_logins
icmp,0.4540928345033661,3361,4595,11,2.5261380891175205,0
icmp,0.8519434379064527,2624,2972,10,2.725705360117492,0
tcp,0.757498778433248,3559,2961,8,2.2002711044590995,0
tcp,1.607399524177548,4789,4940,8,2.4503647879111283,0
udp,1.1500964398311226,3590,3623,11,3.710991505699,0
tcp,0.8386592999727362,4175,6091,9,2.26322798487643,0
icmp,0.658766182975054,2713,371,4,2.682369320887632,0
tcp,1.183070817446353,5929,3221,12,2.9465558381795853,0
udp,0.013423101397902482,5412,3136,1,2.3451131161210554,0
tcp,0.43163437569345525,4147,3640,3,3.252707104727935,0
tcp,0.8460631636864517,4688,3989,7,3.0558981296873515,0
icmp,0.26110478570829376,4984,3500,12,2.785544984876438,0
udp,0.41198967494085637,3985,7472,16,2.480699647377961,0
tcp,1.16987244653808,4823,5113,11,2.8666526449324645,0
tcp,0.9068086536591303,3336,3109,1,2.601757559804138,0
udp,0.545158282745607,4689,3417,9,3.2963616132384947,0
tcp,0.5819693833790939,3866,4583,12,2.609278527624224,0
udp,0.8778575947508049,2621,3771,8,2.1261210408191222,0
icmp,0.7024046181035841,4707,3103,11,1.7890057892165685,0
icmp,0.8531310829712074,2612,2922,4,2.4691012907655563,0
tcp,0.4802185439507539,4838,2933,6,1.8663428018345276,0
icmp,0.0,1403,5923,6,3.3454425358097906,0
udp,0.9784084355134104,6870,2184,6,2.768708366591005,0
tcp,1.2115118317620843,4609,3883,8,3.2356166944143396,0
icmp,17.89726251770947,195142,188937,236,27.709134084858956,9
icmp,0.729242429390557,3480,4256,10,2.790160448356431,0
udp,0.8088692583989423,2239,3539,6,3.2993787832960293,0
icmp,0.8421646953774039,4399,4833,4,2.1559778614913285,0
udp,0.8607243379629931,3553,4587,6,2.6748372061754546,0
tcp,0.0847221602203454,3842,4112,4,2.4488312880665677,0
tcp,1.238962059718196,6131,3057,7,2.91878338501225,0
icmp,0.2466550820463005,5998,6206,8,3.4477908558030426,0
tcp,1.1666654523843245,3802,3210,5,1.8464529842996389,0
udp,1.8775468077955861,5259,4933,8,1.2848909675352365,0
udp,0.6447943484380805,2898,4481,10,1.8455316550315022,0
icmp,0.023748776535942984,4011,2707,3,3.069341816053142,0
icmp,19.07729340420557,138948,168163,355,38.73702870267684,4
icmp,1.5790748995290977,4270,5557,9,2.3754121364334297,0
icmp,1.8271154508953749,2847,5611,11,2.0481201992685167,0
icmp,1.157245174217831,3235,5898,12,1.9657410366245376,0
icmp,3.0361379390647816,126114,159587,307,37.50237302429322,13
udp,1.1626676559280986,5758,3484,7,1.8192931490907678,0
tcp,0.9621509501794807,4038,4859,12,2.4010303394867187,0
udp,0.7387255292045755,3193,4949,10,3.211086881229014,0
icmp,1.1940055836299082,4041,3563,7,3.1478122425499566,1
tcp,0.4891184006937424,2682,2827,5,1.6973460068982633,0
tcp,13.429720340086844,58851,2001,306,28.864811049522224,9
icmp,1.1703578310049934,4819,2622,7,2.592204038285914,0
icmp,0.35139758570569174,4698,3438,8,2.7274913913489973,0
tcp,19.273892911063776,70366,173625,237,23.871408105844544,6
udp,12.01890731423865,153364,153280,191,34.78513204570975,11
icmp,1.0413786389083242,3062,2807,9,2.925693542367815,0
icmp,9.781040950708054,193475,149242,307,30.09687741624779,7
